Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
048,0200,048,0000,000,0000,000,0000,0000,004,0100
048,0200,049,0200,048,0200,000,0048,0000,004,0100
049,EE19,04A,EE19,063,0000,000,0019,0000,004,0100,063,0000
04A,AE16,04B,AE16,061,0237,000,0016,0237,000,0000
04B,0700,04C,0700,04B,0700,000,004B,0238,000,0000
04C,0C00,04D,0C00,7FF,0238,7FF,004C,0238,000,0000,7FF,0238
04D,D6D0,6D0,D6D0,7FE,004E,7FE,D6D0,0238,000,0000,7FE,004E
6D0,AC01,6D1,AC01,7FF,0238,7FE,0001,0238,000,0000
6D1,F203,6D2,F203,6D1,F203,7FE,06D1,0238,000,0000
6D2,7E0A,6D3,7E0A,6DD,0237,7FE,000A,0238,001,0001
6D3,F006,6D4,F006,6D3,F006,7FE,06D3,0238,001,0001
6D4,F805,6D5,F805,6D4,F805,7FE,06D4,0238,001,0001
6D5,0500,6D6,0500,6D5,0238,7FE,06D5,0470,000,0000
6D6,0500,6D7,0500,6D6,0470,7FE,06D6,08E0,000,0000
6D7,6C01,6D8,6C01,7FF,0238,7FE,0001,06A8,001,0001
6D8,4E05,6D9,4E05,6DE,00DE,7FE,0005,0786,000,0000
6D9,CE01,6DB,CE01,6D9,06DB,7FE,0001,0786,000,0000
6DB,EC01,6DC,EC01,7FF,0786,7FE,0001,0786,000,0000,7FF,0786
6DC,0A00,04E,0A00,7FE,004E,7FF,06DC,0786,000,0000
04E,0800,04F,0800,7FF,0786,000,004E,0786,000,0000
04F,0700,050,0700,04F,0700,000,004F,0787,000,0000
050,4E12,051,4E12,063,0000,000,0012,0787,000,0000
051,EE11,052,EE11,063,0787,000,0011,0787,000,0000,063,0787
052,AE0F,053,AE0F,062,0066,000,000F,0066,000,0000
053,0700,054,0700,053,0700,000,0053,0067,000,0000
054,0C00,055,0C00,7FF,0067,7FF,0054,0067,000,0000,7FF,0067
055,D6D0,6D0,D6D0,7FE,0056,7FE,D6D0,0067,000,0000,7FE,0056
6D0,AC01,6D1,AC01,7FF,0067,7FE,0001,0067,000,0000
6D1,F203,6D2,F203,6D1,F203,7FE,06D1,0067,000,0000
6D2,7E0A,6D3,7E0A,6DD,0237,7FE,000A,0067,008,1000
6D3,F006,6D4,F006,6D3,F006,7FE,06D3,0067,008,1000
6D4,F805,6DA,F805,6D4,F805,7FE,0005,0067,008,1000
6DA,AE02,6DB,AE02,6DD,0237,7FE,0002,0237,000,0000
6DB,EC01,6DC,EC01,7FF,0237,7FE,0001,0237,000,0000,7FF,0237
6DC,0A00,056,0A00,7FE,0056,7FF,06DC,0237,000,0000
056,0800,057,0800,7FF,0237,000,0056,0237,000,0000
057,6E0B,058,6E0B,063,0787,000,000B,FAB0,008,1000
058,EE0A,059,EE0A,063,FAB0,000,000A,FAB0,008,1000,063,FAB0
059,AE06,05A,AE06,060,FDF3,000,0006,FDF3,008,1000
05A,0C00,05B,0C00,7FF,FDF3,7FF,005A,FDF3,008,1000,7FF,FDF3
05B,D6D0,6D0,D6D0,7FE,005C,7FE,D6D0,FDF3,008,1000,7FE,005C
6D0,AC01,6D1,AC01,7FF,FDF3,7FE,0001,FDF3,008,1000
6D1,F203,6D5,F203,6D1,F203,7FE,0003,FDF3,008,1000
6D5,0500,6D6,0500,6D5,FDF3,7FE,06D5,FBE6,009,1001
6D6,0500,6D7,0500,6D6,FBE6,7FE,06D6,F7CC,009,1001
6D7,6C01,6D8,6C01,7FF,FDF3,7FE,0001,F9D9,008,1000
6D8,4E05,6D9,4E05,6DE,00DE,7FE,0005,FAB7,008,1000
6D9,CE01,6DB,CE01,6D9,06DB,7FE,0001,FAB7,008,1000
6DB,EC01,6DC,EC01,7FF,FAB7,7FE,0001,FAB7,008,1000,7FF,FAB7
6DC,0A00,05C,0A00,7FE,005C,7FF,06DC,FAB7,008,1000
05C,0800,05D,0800,7FF,FAB7,000,005C,FAB7,008,1000
05D,6E05,05E,6E05,063,FAB0,000,0005,0007,001,0001
05E,EE04,05F,EE04,063,0007,000,0004,0007,001,0001,063,0007
05F,0100,060,0100,05F,0100,000,005F,0007,001,0001
